id;url_transaccion;fecha_creacion;primerid;total_cambios;fecha_confirmacion
3.41.1073256;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.41.1073256;"2022-04-07 18:35:00";60556196;1;"2022-04-07 18:37:27"
9.20.1070562;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.20.1070562;"2022-04-07 18:30:00";60556195;1;"2022-04-07 18:34:15"
6.11.928011;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=6.11.928011;"2022-04-06 18:15:00";60556055;140;"2022-04-07 12:53:36"
10.8.1080471;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=10.8.1080471;"2022-04-06 18:15:00";60555775;140;"2022-04-07 12:53:34"
5.38.1061772;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.38.1061772;"2022-04-06 18:15:00";60555769;6;"2022-04-07 12:53:33"
8.38.1078013;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.38.1078013;"2022-04-06 18:15:00";60555915;140;"2022-04-07 12:53:35"
5.9.1061646;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.9.1061646;"2022-04-06 17:55:00";60555765;4;"2022-04-07 12:53:32"
1.18.941682;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.18.941682;"2022-04-06 17:50:00";60555755;3;"2022-04-07 12:53:30"
5.2.1062115;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.2.1062115;"2022-04-06 17:50:00";60555761;4;"2022-04-07 12:53:31"
2.38.1061319;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.38.1061319;"2022-04-06 17:50:00";60555759;1;"2022-04-07 12:53:31"
5.19.1062231;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.19.1062231;"2022-04-06 17:50:00";60555758;1;"2022-04-07 12:53:30"
8.18.1078381;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.18.1078381;"2022-04-06 17:50:00";60555760;1;"2022-04-07 12:53:31"
1.1.941411;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.1.941411;"2022-04-06 17:45:00";60555751;1;"2022-04-07 12:53:28"
10.9.1080832;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=10.9.1080832;"2022-04-06 17:45:00";60555753;1;"2022-04-07 12:53:29"
4.27.1073435;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.27.1073435;"2022-04-06 17:45:00";60555752;1;"2022-04-07 12:53:28"
7.16.1042884;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=7.16.1042884;"2022-04-06 17:45:00";60555754;1;"2022-04-07 12:53:29"
3.25.1073083;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.25.1073083;"2022-04-06 16:43:42";60555749;2;"2022-04-07 12:53:27"
3.38.1069887;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.38.1069887;"2022-04-06 16:40:00";60555748;1;"2022-04-07 12:53:27"
5.45.1061970;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.45.1061970;"2022-04-06 13:45:00";60555744;2;"2022-04-07 12:53:26"
10.29.1080891;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=10.29.1080891;"2022-04-06 13:45:00";60555746;2;"2022-04-07 12:53:26"
5.13.1061921;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.13.1061921;"2022-04-05 18:55:00";60555742;2;"2022-04-07 12:53:26"
9.36.1070307;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.36.1070307;"2022-04-05 18:55:00";60555602;140;"2022-04-07 12:53:25"
5.6.1062023;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.6.1062023;"2022-04-05 18:50:00";60555463;139;"2022-04-07 12:53:24"
2.40.1061839;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.40.1061839;"2022-04-05 18:50:00";60555459;4;"2022-04-07 12:53:23"
3.34.1072820;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.34.1072820;"2022-04-05 18:15:00";60555320;139;"2022-04-07 12:53:21"
9.21.1069877;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.21.1069877;"2022-04-05 18:15:00";60555315;5;"2022-04-07 12:53:20"
6.29.927551;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=6.29.927551;"2022-04-05 18:10:00";60555312;1;"2022-04-07 12:53:17"
3.35.1072530;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.35.1072530;"2022-04-05 18:10:00";60555313;2;"2022-04-07 12:53:19"
2.33.1061698;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.33.1061698;"2022-04-05 18:05:00";60555173;139;"2022-04-07 12:53:17"
8.21.1077682;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.21.1077682;"2022-04-05 18:05:00";60555168;5;"2022-04-07 12:53:16"
2.16.1062268;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.16.1062268;"2022-04-05 18:00:00";60555026;3;"2022-04-07 12:53:14"
3.39.1073003;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.39.1073003;"2022-04-05 18:00:00";60555029;139;"2022-04-07 12:53:14"
4.21.1073083;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.21.1073083;"2022-04-05 17:55:01";60555024;2;"2022-04-07 12:53:12"
6.47.927449;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=6.47.927449;"2022-04-05 17:55:00";60554885;139;"2022-04-07 12:53:11"
3.40.1072243;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.40.1072243;"2022-04-05 17:55:00";60554881;4;"2022-04-07 12:53:10"
6.13.927758;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=6.13.927758;"2022-04-05 17:40:02";60554876;2;"2022-04-07 12:53:08"
3.10.1072146;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.10.1072146;"2022-04-05 17:40:02";60554878;2;"2022-04-07 12:53:08"
3.18.1072838;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.18.1072838;"2022-04-05 17:40:02";60554596;140;"2022-04-07 12:53:07"
9.10.1069425;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.10.1069425;"2022-04-05 17:40:02";60554880;1;"2022-04-07 12:53:09"
9.14.1070502;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.14.1070502;"2022-04-05 17:40:02";60554736;140;"2022-04-07 12:53:08"
4.30.1072883;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.30.1072883;"2022-04-05 17:40:01";60554456;140;"2022-04-07 12:53:06"
1.10.941216;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.10.941216;"2022-04-05 17:40:00";60554450;6;"2022-04-07 12:53:05"
3.16.1071906_7;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.16.1071906_7;"2022-04-05 10:42:08";60554435;15;"2022-04-07 12:53:03"
3.16.1071906_6;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.16.1071906_6;"2022-04-05 10:42:07";60552435;2000;"2022-04-07 12:53:03"
3.16.1071906_5;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.16.1071906_5;"2022-04-05 10:42:05";60550435;2000;"2022-04-07 12:53:00"
3.16.1071906_4;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.16.1071906_4;"2022-04-05 10:42:03";60548435;2000;"2022-04-07 12:52:58"
3.16.1071906_3;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.16.1071906_3;"2022-04-05 10:42:01";60546435;2000;"2022-04-07 12:52:55"
3.16.1071906_2;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.16.1071906_2;"2022-04-05 10:41:59";60544435;2000;"2022-04-07 12:52:53"
3.16.1071906_1;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.16.1071906_1;"2022-04-05 10:41:58";60542435;2000;"2022-04-07 12:52:50"
2.31.1062036_4;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.31.1062036_4;"2022-04-05 10:41:56";60541462;973;"2022-04-07 12:52:48"
2.31.1062036_3;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.31.1062036_3;"2022-04-05 10:41:52";60539462;2000;"2022-04-07 12:52:45"
2.31.1062036_2;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.31.1062036_2;"2022-04-05 10:41:46";60537462;2000;"2022-04-07 12:52:42"
2.31.1062036_1;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.31.1062036_1;"2022-04-05 10:41:38";60535462;2000;"2022-04-07 12:52:37"
2.7.1061870;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.7.1061870;"2022-04-05 10:30:02";60535434;17;"2022-04-07 12:51:56"
8.2.1078249;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.2.1078249;"2022-04-05 10:30:02";60535451;11;"2022-04-07 12:52:33"
1.29.941109;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.29.941109;"2022-04-05 10:30:01";60535243;191;"2022-04-07 12:51:56"
9.9.1070599;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.9.1070599;"2022-04-05 10:30:00";60535123;120;"2022-04-07 12:02:52"
10.33.1080529;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=10.33.1080529;"2022-04-01 14:05:00";60535122;1;"2022-04-07 11:47:24"
4.4.1072771;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.4.1072771;"2022-03-30 15:50:00";60535121;1;"2022-04-07 11:47:23"
2.14.1060848;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.14.1060848;"2022-03-30 15:45:02";60535120;1;"2022-04-07 11:47:23"
7.6.1042008;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=7.6.1042008;"2022-03-30 15:40:01";60535117;3;"2022-04-07 11:47:20"
4.5.1072593;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.5.1072593;"2022-03-30 15:20:00";60535115;2;"2022-04-07 11:47:19"
9.7.1070221;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.7.1070221;"2022-03-30 13:25:00";60535113;2;"2022-04-07 11:47:06"
1.44.941223;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.44.941223;"2022-03-30 13:00:00";60535110;1;"2022-04-07 11:47:04"
4.10.1072712;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.10.1072712;"2022-03-30 13:00:00";60535111;2;"2022-04-07 11:47:05"
1.25.940937;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.25.940937;"2022-03-30 12:50:00";60535109;1;"2022-04-07 11:47:02"
10.36.1079395;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=10.36.1079395;"2022-03-30 12:40:00";60535108;1;"2022-04-07 11:47:02"
3.17.1071875;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.17.1071875;"2022-03-30 12:35:00";60535107;1;"2022-04-07 11:47:01"
3.42.1072175;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.42.1072175;"2022-03-30 12:10:03";60535105;2;"2022-04-07 11:47:01"
1.32.940796;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.32.940796;"2022-03-29 12:45:00";60535102;1;"2022-04-07 11:46:52"
5.38.1061116;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.38.1061116;"2022-03-29 12:45:00";60535104;1;"2022-04-07 11:46:54"
8.18.1077730;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.18.1077730;"2022-03-29 12:45:00";60535103;1;"2022-04-07 11:46:53"
1.22.935007;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.22.935007;"2022-03-29 12:40:14";60535101;1;"2022-04-07 11:46:52"
10.9.1080346;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=10.9.1080346;"2022-03-29 12:40:07";60535097;4;"2022-04-07 11:46:51"
9.14.1069928;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.14.1069928;"2022-03-29 12:40:07";60535096;1;"2022-04-07 11:46:44"
1.0.941001;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.0.941001;"2022-03-29 12:40:05";60535094;2;"2022-04-07 11:46:43"
4.6.1072772;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.6.1072772;"2022-03-29 12:40:04";60535093;1;"2022-04-07 11:46:37"
3.35.1071685;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.35.1071685;"2022-03-29 12:40:04";60535091;1;"2022-04-07 11:46:35"
7.37.1042144;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=7.37.1042144;"2022-03-29 12:40:04";60535092;1;"2022-04-07 11:46:37"
6.27.926953;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=6.27.926953;"2022-03-29 12:40:03";60535090;1;"2022-04-07 11:46:34"
9.34.1069320;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.34.1069320;"2022-03-29 12:15:01";60535089;1;"2022-04-07 11:46:33"
1.8.941078;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.8.941078;"2022-03-29 12:10:00";60535088;1;"2022-04-07 11:46:32"
5.37.1061514;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=5.37.1061514;"2022-03-29 12:05:02";60535087;1;"2022-04-07 11:46:31"
1.22.930292_2;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.22.930292_2;"2022-03-12 19:43:10";60108208;103;"2022-03-17 00:00:00"
1.22.930292_1;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=1.22.930292_1;"2022-03-12 19:43:03";60106208;2000;"0000-00-00 00:00:00"
4.8.1066698;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.8.1066698;"2022-03-11 12:35:05";60106207;1;"2022-03-17 00:00:00"
6.32.922511;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=6.32.922511;"2022-03-11 12:35:05";60106205;2;"2022-03-17 00:00:00"
8.16.1071504;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.16.1071504;"2022-03-11 12:35:04";60106204;1;"2022-03-17 00:00:00"
3.44.1065528;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.44.1065528;"2022-03-04 12:57:18";60106202;1;"2022-03-17 00:00:00"
7.12.1036402;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=7.12.1036402;"2022-03-04 12:57:18";60106203;1;"2022-03-17 00:00:00"
9.44.1063469;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=9.44.1063469;"2022-03-04 12:57:10";60106196;6;"2022-03-17 00:00:00"
4.11.1066288;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=4.11.1066288;"2022-03-03 11:46:48";60113752;9;"2022-04-07 12:51:54"
3.41.1066046;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=3.41.1066046;"2022-03-03 11:46:47";60113749;3;"2022-04-07 12:51:26"
8.11.1071036;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.11.1071036;"2022-03-03 11:46:47";60113739;10;"2022-04-07 12:50:57"
8.37.1071015;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=8.37.1071015;"2022-03-03 11:46:47";60113737;2;"2022-04-07 12:50:21"
2.45.1054007;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=2.45.1054007;"2022-03-03 11:46:46";60113735;1;"2022-04-07 12:49:51"
7.33.1036660;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=1&transaccion=7.33.1036660;"2022-03-02 21:08:47";60106189;7;"2022-03-17 00:00:00"
