transaccion;url_transaccion;fecha_creacion;primer_idcambiotabla;total_cambios;fecha_insercion;fecha_actualizacion;fecha_confirmacion
3.11.1110045;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=3.11.1110045;2022-07-21 03:37:59.0;66020998;12;2022-07-21 05:01:28.0;2022-07-21 05:01:29.0;2022-07-21 05:01:28.0
9.44.1110917;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.44.1110917;2022-07-21 05:03:00.0;66021010;2;2022-07-21 05:10:26.0;2022-07-21 05:10:27.0;2022-07-21 05:10:26.0
5.0.1101756;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.0.1101756;2022-07-21 05:04:05.0;66021012;2;2022-07-21 05:10:26.0;2022-07-21 05:10:27.0;2022-07-21 05:10:26.0
12.1.52788;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=12.1.52788;2022-07-21 06:12:58.0;66021015;7;2022-07-21 06:15:28.0;2022-07-21 06:15:29.0;2022-07-21 06:15:28.0
9.45.1110821;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.45.1110821;2022-07-21 06:12:58.0;66021014;1;2022-07-21 06:15:28.0;2022-07-21 06:15:29.0;2022-07-21 06:15:28.0
8.46.1112696;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.46.1112696;2022-07-21 06:12:59.0;66021022;1;2022-07-21 06:15:28.0;2022-07-21 06:15:29.0;2022-07-21 06:15:28.0
3.28.1110781;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=3.28.1110781;2022-07-21 06:12:59.0;66021023;1;2022-07-21 06:15:28.0;2022-07-21 06:15:29.0;2022-07-21 06:15:28.0
4.20.1112958;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=4.20.1112958;2022-07-21 06:13:00.0;66021025;6;2022-07-21 06:15:28.0;2022-07-21 06:15:29.0;2022-07-21 06:15:29.0
8.14.1116661;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.14.1116661;2022-07-21 06:13:00.0;66021024;1;2022-07-21 06:15:28.0;2022-07-21 06:15:29.0;2022-07-21 06:15:28.0
9.31.1110868;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.31.1110868;2022-07-21 06:13:00.0;66021031;2;2022-07-21 06:15:28.0;2022-07-21 06:15:29.0;2022-07-21 06:15:29.0
