"Store ID";"active";"name";"address1";"address2";"postcode";"state";"city";"country";"latitude";"longitude";"phone";"fax";"email";"note";"hours";"image"
"";"1";"I.A.E. DE A CORUÑA";"C/MEDICO DEVESA NUÑEZ, 3";"";"";"353";"CORUÑA (A)";"6";"43.3465493";"-8.4169106";"981167800";"";"";"1";"";""
"";"1";"I.A.E. DE ALBACETE";"AV. RAMON Y CAJAL, 33";"";"";"355";"ALBACETE";"6";"38.9997797";"-1.8608119";"967192257";"";"";"1";"";""
"";"1";"I.A.E. DE ALGECIRAS";"CTRA. CADIZ-MALAGA, KM 106";"";"";"365";"ALGECIRAS";"6";"36.141659";"-5.4606968";"956587212";"";"";"1";"";""
"";"1";"I.A.E. DE ALICANTE";"C/SAN VICENTE, 52";"";"";"356";"ALICANTE";"6";"38.3508972";"-0.4868668";"965145660";"";"";"1";"";""
"";"1";"I.A.E. DE ALMERIA";"GLORIETA MANUEL FRAGA IRIBARNE S/N";"";"";"357";"ALMERIA";"6";"36.8353927";"-2.4591458";"950256122";"";"";"1";"";""
"";"1";"I.A.E. DE AVILA";"CARRETERA DE EL ESPINAR, 2";"";"";"359";"AVILA";"6";"40.6570819";"-4.6830069";"920224400";"";"";"1";"";""
"";"1";"I.A.E. DE BADAJOZ";"C/ JUAN A. CANSINOS RIOBOO, 2";"";"";"360";"BADAJOZ";"6";"38.8773834";"-6.9786189";"924205750";"";"";"1";"";""
"";"1";"I.A.E. DE BARCELONA (S.ANDRES B.)";"CAMI VELL DEL PALAU, S/N";"";"";"362";"SANT ANDREU DE LA BARCA";"6";"41.4556798";"1.9580394";"936823030";"";"";"1";"";""
"";"1";"I.A.E. DE BILBAO";"PLAZA LA SALVE, 10";"";"";"400";"BILBAO";"6";"43.2696669";"-2.931973";"944253400";"";"";"1";"";""
"";"1";"I.A.E. DE BURGOS";"GLORIETA LOGROÑO, 3-BJ";"";"";"363";"BURGOS";"6";"42.3488039";"-3.6788587";"947244665";"";"";"1";"";""
