transaccion;url_transaccion;fecha_creacion;primer_idcambiotabla;total_cambios;fecha_insercion;fecha_actualizacion;fecha_confirmacion
5.43.1102924;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.43.1102924;2022-07-27 16:18:00.0;66078783;125;2022-07-27 16:25:29.0;2022-07-27 16:25:30.0;2022-07-27 16:25:29.0
10.1.1123425;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.1.1123425;2022-07-27 16:18:05.0;66078911;2;2022-07-27 16:25:29.0;2022-07-27 16:25:30.0;2022-07-27 16:25:30.0
10.29.1123439;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.29.1123439;2022-07-27 16:23:00.0;66079048;2;2022-07-27 16:30:21.0;2022-07-27 16:30:23.0;2022-07-27 16:30:22.0
5.1.1103171;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.1.1103171;2022-07-27 16:23:00.0;66078922;126;2022-07-27 16:30:21.0;2022-07-27 16:30:23.0;2022-07-27 16:30:21.0
2.1.1098792;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.1.1098792;2022-07-27 16:33:01.0;66079094;3;2022-07-27 16:35:32.0;2022-07-27 16:35:34.0;2022-07-27 16:35:33.0
10.2.1123250;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.2.1123250;2022-07-27 16:38:02.0;66079107;3;2022-07-27 16:40:21.0;2022-07-27 16:40:22.0;2022-07-27 16:40:22.0
8.30.1118330;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.30.1118330;2022-07-27 17:18:03.0;66079575;125;2022-07-27 17:20:30.0;2022-07-27 17:20:35.0;2022-07-27 17:20:31.0
4.9.1114307;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=4.9.1114307;2022-07-27 17:18:04.0;66079700;125;2022-07-27 17:20:30.0;2022-07-27 17:20:35.0;2022-07-27 17:20:31.0
1.41.972070;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.41.972070;2022-07-27 17:18:06.0;66079828;125;2022-07-27 17:20:30.0;2022-07-27 17:20:35.0;2022-07-27 17:20:32.0
2.13.1099264;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.13.1099264;2022-07-27 17:18:07.0;66079956;125;2022-07-27 17:20:30.0;2022-07-27 17:20:35.0;2022-07-27 17:20:32.0
2.35.1098689;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.35.1098689;2022-07-27 17:18:07.0;66080206;125;2022-07-27 17:20:30.0;2022-07-27 17:20:35.0;2022-07-27 17:20:32.0
7.33.1078683;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.33.1078683;2022-07-27 17:18:07.0;66080081;125;2022-07-27 17:20:30.0;2022-07-27 17:20:35.0;2022-07-27 17:20:32.0
