10817;2;"ESCOPETA MOD. ARRIETA  802  CAL.12";"18/06/2004 19:29:50";10999,99;14700;7035;"MANUFACTURAS ARRIETA S.L.";1;;"ARMA_VENTA_PRIORITARIA, BF21, BF22, BF23, EXC_2022, NOGOO_ES, NOGOO_PT, OUTLET, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;100108602;"100035763
"
10818;2;"ESCOPETA  MOD. ARRIETA  871 (581) CAL. 12";"18/06/2004 19:29:50";6899,99;8990;7035;"MANUFACTURAS ARRIETA S.L.";1;;"ARMA_VENTA_PRIORITARIA, BF21, BF22, BF23, EXC_2022, NOGOO_ES, NOGOO_PT, OUTLET, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;100108607;"100035765
"
10909-12;1;"ESCOPETA SUPERPUESTA SPZ CALIBRE 12";"26/07/2017 19:37:34";904,99;905;9240;"SKYWAY TECHNOLOGY, S.A.";2;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018";"COMPARADOR, EXCEPCION_2021, EXC_2022, NOGOO_ES, NOGOO_PT, REVER242";"14/02/2024 17:51:22";100058126;"100021617
"
110005C-XXL;2;"CAMISETA TECNICA TALIA 01 T.XXL";"08/05/2017 16:42:07";23,99;34,45;9009;"CALZADOS FAL S.A.";1;;"BF21, CAMINO, OUTLET, RBE22, RBE23, RBV22, RBV23, REVER242";"15/10/2020 13:50:09";100052405;"100018885
"
11020L;1;"CAMISA CLARA BEIGE T.L";"18/06/2004 19:29:50";39,99;39,99;100001765;"BARTAVEL- ETS. ALBERT LLAU";3;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF22, BF23, CSW, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;3325;"246
"
11020M;1;"CAMISA CLARA BEIGE T.M";"18/06/2004 19:29:50";39,99;39,99;100001765;"BARTAVEL- ETS. ALBERT LLAU";6;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF22, BF23, CSW, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;3324;"246
"
11020XL;1;"CAMISA CLARA BEIGE T.XL";"14/01/2005 12:13:00";39,99;39,99;100001765;"BARTAVEL- ETS. ALBERT LLAU";2;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF22, BF23, CSW, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;3326;"246
"
11020XXL;1;"CAMISA CLARA BEIGE T.XXL";"14/01/2005 12:13:44";39,99;39,99;100001765;"BARTAVEL- ETS. ALBERT LLAU";2;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF22, BF23, CSW, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;3327;"246
"
11020XXXL;1;"CAMISA CLARA BEIGE T.XXXL";"06/03/2017 18:20:19";39,99;39,99;100001765;"BARTAVEL- ETS. ALBERT LLAU";8;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018";"BF21, BF22, BF23, CSW, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;100048706;"246
"
11040L;1;"CAMISA VERDE OSCURA T.L";"18/06/2004 19:29:50";39,99;39,99;100001765;"BARTAVEL- ETS. ALBERT LLAU";11;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF22, BF23, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;3333;"246
"
11040M;1;"CAMISA VERDE OSCURA T.M";"18/06/2004 19:29:50";39,99;39,99;100001765;"BARTAVEL- ETS. ALBERT LLAU";11;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF22, BF23, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";;3332;"246
"
