doc_id,order_id,doc_uid,type_id,status_id,created_at,validation_status,product_ids
11,762693,"6836f8e69170e",4,1,"2025-05-28 11:52:06","pending","51103|281|69947"
12,762711,"68371c71a61d5",4,1,"2025-05-28 14:23:45","pending","279|8062|43021|61480"
13,762732,"68373cc430d55",4,1,"2025-05-28 16:41:40","pending","33728|13551|43021"
14,762795,"68380862de088",4,1,"2025-05-29 07:10:26","pending","43079|33728"
15,762864,"683898ac78781",4,1,"2025-05-29 17:26:04","pending","55248|43079"
16,762888,"6838d3b8d3a6e",4,1,"2025-05-29 21:38:00","pending","24722|54017|97|10771"
17,762894,"6838ea6cd993b",4,1,"2025-05-29 23:14:52","pending","62395|279|43021|54017|48348"
18,762895,"6838eb9ebab59",4,1,"2025-05-29 23:19:58","pending","43511|65528"
19,762896,"6838f7a48f4f7",4,1,"2025-05-30 00:11:16","pending","65726|54008"
20,762900,"68394d6911c72",4,1,"2025-05-30 06:17:13","pending","48741"
21,762906,"68395bdad80f2",4,1,"2025-05-30 07:18:50","pending","43511"
23,762938,"683993318450c",4,1,"2025-05-30 11:14:57","pending","28612|279|61480"
24,762939,"68399751745b2",4,1,"2025-05-30 11:32:33","pending","43574|43079"
27,764551,"6847718b96ca5",4,1,"2025-06-09 23:43:07","pending","40059"
28,765119,"684c072a4d38b",4,1,"2025-06-13 11:10:34","pending","36714|43021"
29,765159,"684c4daa0a0f4",4,1,"2025-06-13 16:11:22","pending","65523"
30,765166,"684c5a989dc9f",4,1,"2025-06-13 17:06:32","pending","48317|48348"
31,765225,"684d5e5f11676",4,1,"2025-06-14 11:34:55","pending","8060|43021"
32,765236,"684d79b2bc183",4,1,"2025-06-14 13:31:30","pending","63680"
33,765238,"684d807c91cb7",4,1,"2025-06-14 14:00:28","pending","43021|43574"
34,765249,"684d9a0b24a73",4,1,"2025-06-14 15:49:31","pending","55248|54014|97|10771"
35,765250,"684d9a8b5962a",4,1,"2025-06-14 15:51:39","pending","43574|43079|43021"
36,765270,"684dca1ee1ada",4,1,"2025-06-14 19:14:38","pending","54016|8060|43021"
37,765279,"684de5773de30",4,1,"2025-06-14 21:11:19","pending","17242|13551"
38,765285,"684e00fd7f21d",4,1,"2025-06-14 23:08:45","pending","278|43021|48348"
39,765301,"684e8d6cb431f",4,1,"2025-06-15 09:07:56","pending","39003|8062|2865"
40,765307,"684e9a9a035ee",4,1,"2025-06-15 10:04:10","pending","52653"
41,765323,"684eb3ab1226f",4,1,"2025-06-15 11:51:07","pending","38033|54014|21850"
42,765344,"684ed707c966d",4,1,"2025-06-15 14:21:59","pending","38033"
43,765346,"684ed8399a20c",4,1,"2025-06-15 14:27:05","pending","27302|54012"
44,765352,"684ee1f1aecc7",4,1,"2025-06-15 15:08:33","pending","38033"
45,765394,"684f2a359b963",4,1,"2025-06-15 20:16:53","pending","43543"
46,765425,"684fc7115a499",4,1,"2025-06-16 07:26:09","pending","33728|43021"
47,765429,"684fd29a1c094",4,1,"2025-06-16 08:15:22","pending","63685"
49,765452,"684ff5d76fc33",4,1,"2025-06-16 10:45:43","pending","35378|43021|43079"
50,765459,"684ffa652a04b",4,1,"2025-06-16 11:05:09","pending","65726"
51,765465,"685000b6b3066",4,1,"2025-06-16 11:32:06","pending","65726"
52,765493,"68502b0d23a54",4,1,"2025-06-16 14:32:45","pending","27309"
53,765514,"685045fa4e7b1",4,1,"2025-06-16 16:27:38","pending","6560|281|38033|43021"
54,765518,"685048a532a5e",4,1,"2025-06-16 16:39:01","pending","33728|43079"
55,765540,"68506177007c3",4,1,"2025-06-16 18:24:55","pending","51103|43021|43079"
56,765563,"685078c4626e2",4,1,"2025-06-16 20:04:20","pending","43079|38033"
57,765568,"68507eb0eb171",4,1,"2025-06-16 20:29:36","pending","43574"
58,765585,"68509a7c67a90",4,1,"2025-06-16 22:28:12","pending","28747|43021|48348|54017|54014|10771"
59,765586,"68509df60008b",4,1,"2025-06-16 22:43:02","pending","28747|43021|54008|54014"
60,765674,"68516eb4ce12a",4,1,"2025-06-17 13:33:40","pending","30665"
61,765688,"68518379990d6",4,1,"2025-06-17 15:02:17","pending","24724|279|2865"
62,765690,"685187cca6719",4,1,"2025-06-17 15:20:44","pending","51103|43021"
64,765721,"6851b2c228712",4,1,"2025-06-17 18:24:02","pending","38033|13551"
65,765745,"6851d28478eab",4,1,"2025-06-17 20:39:32","pending","65726"
66,765755,"6851df1897114",4,1,"2025-06-17 21:33:12","pending","52236|43021|43079"
67,765762,"6851e3da49207",4,1,"2025-06-17 21:53:30","pending","28222"
68,765771,"685253da8fe0f",3,1,"2025-06-18 05:51:22","pending","65403"
69,765776,"68525739c317d",4,1,"2025-06-18 06:05:45","pending","33728"
70,765782,"6852667ce27e6",3,1,"2025-06-18 07:10:52","pending","65403"
71,765791,"685279c7283a6",4,1,"2025-06-18 08:33:11","pending","20494"
72,765862,"6852e8429c834",4,1,"2025-06-18 16:24:34","pending","17247"
73,765920,"68533aa04ca41",4,1,"2025-06-18 22:16:00","pending","54014|65726"
74,765924,"685373a58ab2e",4,1,"2025-06-19 02:19:17","pending","38033"
75,765969,"6853ec0a7fbaa",4,1,"2025-06-19 10:52:58","pending","65523"
76,765972,"6853f36810e02",4,1,"2025-06-19 11:24:24","pending","65726"
77,765982,"685403561298b",4,1,"2025-06-19 12:32:22","pending","278"
78,765984,"685403aa8489a",3,1,"2025-06-19 12:33:46","pending","24619"
79,766044,"68545b55cfba8",4,1,"2025-06-19 18:47:49","pending","20482|61480"
80,766057,"6854707c617aa",4,1,"2025-06-19 20:18:04","pending","52653|54008"
81,766063,"68547c197e5a0",4,1,"2025-06-19 21:07:37","pending","1889|20482"
82,766125,"685540a2dd4ca",4,1,"2025-06-20 11:06:10","pending","32619"
83,766127,"6855493571d4a",4,1,"2025-06-20 11:42:45","pending","51103"
84,766137,"685568886107b",4,1,"2025-06-20 13:56:24","pending","63686|281|10771"
