doc_id,order_id,doc_uid,type_id,status_id,created_at,validation_status,razon_invalido,product_ids
9,762670,"6836dd4a5699b",1,1,"2025-05-28 09:54:18","pending","Sin estado 27","38033"
10,762675,"6836e30a27619",4,1,"2025-05-28 10:18:50","pending","Sin estado 27","38033"
22,762922,"68397aa92f511",3,1,"2025-05-30 09:30:17","pending","Sin estado 27","69739"
25,763063,"683b21f589042",1,1,"2025-05-31 15:36:21","pending","Sin estado 27","68498|28534"
26,764281,"6845b313dc40c",1,1,"2025-06-08 15:58:11","pending","Sin estado 27","64673"
48,765430,"684fd2e3c4efe",4,1,"2025-06-16 08:16:35","pending","Sin estado 27","52236"
63,765703,"68519965bcf15",3,1,"2025-06-17 16:35:49","pending","Sin estado 27","58038"
122,767978,"68664ed935bcc",3,1,"2025-07-03 09:35:21","pending","Sin estado 27","12018"
145,768395,"686a57f24a20a",2,1,"2025-07-06 11:03:14","pending","Sin estado 27","59800|65112"
273,771054,"687fb6574e830",4,1,"2025-07-22 16:03:35","pending","Sin estado 27","75"
348,773544,"68944edae95f8",2,1,"2025-08-07 06:59:38","pending","Sin estado 27","48199|59783"
454,776317,"68adcd045f94b",3,1,"2025-08-26 15:04:36","pending","Sin estado 27","12021"
528,777238,"68b4c3866b5ed",3,1,"2025-08-31 21:49:58","pending","Sin estado 27","20441"
542,774999,"68a240a8114b5",2,1,"2025-08-17 20:50:48","pending","Sin estado 27","48003|63218|60953"
558,777698,"68b7e5582d32d",4,1,"2025-09-03 06:51:04","pending","Sin estado 27","65726"
562,777754,"68b83422ae97a",4,1,"2025-09-03 12:27:14","pending","Sin estado 27","24722|40025|13551|43079"
574,777891,"68b8cac820bbf",2,1,"2025-09-03 23:10:00","pending","Sin estado 27","59802|65112|65107|65548"
583,778026,"68b9fcec50979",3,1,"2025-09-04 20:56:12","pending","Sin estado 27","39857"
584,778034,"68ba0eb4abd46",4,1,"2025-09-04 22:12:04","pending","Sin estado 27","65726|13553|1889|282"
631,779221,"68c3350da5144",4,1,"2025-09-11 20:46:05","pending","Sin estado 27","43021|13553|51111"
654,779618,"68c72e2818f4a",2,1,"2025-09-14 21:05:44","pending","Sin estado 27","48200"
735,780944,"68d0c57309162",4,3,"2025-09-22 03:41:39","received","Sin estado 27","55248"
736,780967,"68d1034f2cb3d",4,1,"2025-09-22 08:05:35","pending","Sin estado 27","58742|63685"
750,781293,"68d28232932c1",4,1,"2025-09-23 11:19:14","pending","Sin estado 27","52211"
751,781331,"68d29e5064e1b",3,3,"2025-09-23 13:19:12","received","Sin estado 27","47763"
775,781723,"68d53e9b1cb49",2,1,"2025-09-25 13:07:39","pending","Sin estado 27","12030"
782,781909,"68d6c0764600c",2,3,"2025-09-26 16:33:58","received","Sin estado 27","48201"
789,782010,"68d7bb140a8b3",2,1,"2025-09-27 10:23:16","pending","Sin estado 27","65110|68125|47178"
791,782048,"68d7fcdba95ec",4,3,"2025-09-27 15:03:55","received","Sin estado 27","70321|43543|54014"
857,783517,"68e1c0bb9d2a4",2,1,"2025-10-05 00:50:03","pending","Sin estado 27","47986"
873,783947,"68e4c4cbdc082",1,1,"2025-10-07 07:44:11","pending","Sin estado 27","35338"
885,784287,"68e6917772b41",4,1,"2025-10-08 16:29:43","pending","Sin estado 27","55152"
900,784607,"68e905ebcecb4",2,3,"2025-10-10 13:11:07","received","Sin estado 27","59770"
901,784616,"68e90e51ab2e0",2,3,"2025-10-10 13:46:57","received","Sin estado 27","47986"
929,785463,"68efaf2873184",3,1,"2025-10-15 14:26:48","pending","Sin estado 27","56663"
931,785478,"68efbcd4eb4e7",3,1,"2025-10-15 15:25:08","pending","Sin estado 27","48199"
932,785510,"68efdef818600",3,1,"2025-10-15 17:50:48","pending","Sin estado 27","68169"
935,785584,"68f09d1439822",4,3,"2025-10-16 07:21:56","received","Sin estado 27","38033"
974,786639,"68f7f3774246f",2,1,"2025-10-21 20:56:23","pending","Sin estado 27","60974|14845"
979,786752,"68f8d35b3c49c",1,1,"2025-10-22 12:51:39","pending","Sin estado 27","70355"
986,786880,"68f942c664185",4,1,"2025-10-22 20:47:02","pending","Sin estado 27","52653|54014|48348|54008"
990,786909,"68f9da0816d02",4,1,"2025-10-23 07:32:24","pending","Sin estado 27","278"
1014,787563,"68ff495c961bd",4,3,"2025-10-27 10:28:44","received","Sin estado 27","65726|13551"
1026,787744,"68fffbdc5bc33",4,1,"2025-10-27 23:10:20","pending","Sin estado 27","65726|43021|43079"
1032,787881,"6900f4b984ba8",4,3,"2025-10-28 16:52:09","received","Sin estado 27","38033"
1033,787883,"6900f58926c86",4,1,"2025-10-28 16:55:37","pending","Sin estado 27","63685"
1051,788148,"6902775132383",3,1,"2025-10-29 20:21:37","pending","Sin estado 27","47537"
1055,788240,"69034b796c8da",4,1,"2025-10-30 11:26:49","pending","Sin estado 27","63680"
1094,789033,"6908f119347ad",4,1,"2025-11-03 18:14:49","pending","Sin estado 27","65726"
1114,789713,"690c8407b9120",3,3,"2025-11-06 11:18:31","received","Sin estado 27","65403"
1130,790152,"6910848ed1454",3,1,"2025-11-09 12:09:50","pending","Sin estado 27","43251"
1151,790636,"6913267409726",4,1,"2025-11-11 12:05:08","pending","Sin estado 27","55434|279|61480"
1167,790926,"691469ae26b78",1,1,"2025-11-12 11:04:14","pending","Sin estado 27","39988"
1224,792489,"691ddbd7c27c0",4,1,"2025-11-19 15:01:43","pending","Sin estado 27","65522"
1236,792806,"692000dadcd42",4,1,"2025-11-21 06:04:10","pending","Sin estado 27","38033"
1248,792992,"6920899a73fbd",4,1,"2025-11-21 15:47:38","pending","Sin estado 27","28821|70718|70717"
1257,793122,"6920d878a98e3",3,1,"2025-11-21 21:24:08","pending","Sin estado 27","64297"
1267,793212,"69218d6892cd7",3,1,"2025-11-22 10:16:08","pending","Sin estado 27","68130"
